Iteration,Measured Position,Accepted by Hidden Variable Rule
330,-1.1662,No
331,1.0561,No
332,0.5756,No
333,0.2853,No
334,0.6857,No
335,0.0350,No
336,1.0360,No
337,0.2653,No
338,-0.2753,No
339,-0.5756,No
340,-1.1562,No
341,0.0450,No
342,1.0060,Yes
343,1.5465,No
344,0.6657,No
345,0.2653,No
346,0.7958,No
347,-0.3954,No
348,-0.8659,No
349,-1.7668,No
350,1.1261,No
351,-0.8258,No
352,0.2753,No
353,-0.4354,No
354,0.3053,No
355,-1.1461,No
356,0.1251,No
357,0.7958,No
358,0.3854,No
359,-0.8859,No
360,0.2653,No
361,0.0150,Yes
362,1.5766,No
363,0.5956,No
364,0.5055,No
365,1.9469,No
366,0.4655,No
367,0.2152,No
368,0.4555,No
369,-1.0961,No
370,0.2753,No
371,0.6156,No
372,-0.5956,No
373,-0.2753,No
374,-0.6056,No
375,-1.9469,No
376,1.4665,No
377,0.8859,No
378,0.5856,No
379,0.5656,No
380,0.2853,No
381,-1.3463,No
382,0.9359,No
383,-0.9059,No
384,1.8268,No
385,-0.7057,No
386,0.8258,No
387,0.5155,No
388,0.3153,No
389,-0.4655,No
390,0.9960,No
391,-0.5756,No
392,-0.7658,No
393,-0.5255,No
394,0.0250,No
395,-1.5165,No
396,-0.3353,No
397,1.2563,No
398,-1.0561,No
399,-0.9159,No
400,1.2262,No
401,0.0050,Yes
402,0.9560,No
403,0.8358,No
404,0.1852,No
405,0.8659,No
406,-2.2673,No
407,1.6667,Yes
408,0.5856,No
409,1.2663,No
410,1.9169,No
411,-2.0571,No
412,1.1361,No
413,0.6356,No
414,-0.2653,No
415,1.4264,No
416,-1.2062,No
417,0.2853,No
418,-0.9660,No
419,1.0561,No
420,-0.3353,No
421,1.4565,No
422,0.4054,No
423,1.4064,No
424,0.4054,No
425,0.0250,No
426,0.1051,No
427,-0.4655,No
428,0.1051,No
429,0.4454,No
430,0.3554,No
431,-0.1752,No
432,-0.5656,No
433,0.0250,No
434,0.0250,No
435,2.3073,No
436,-0.9059,No
437,0.3253,No
438,-0.1652,No
439,-1.4765,No
440,0.4555,No
441,-1.4965,No
442,0.5155,No
443,-0.0651,No
444,-0.5556,No
445,0.3554,No
446,1.2763,No
447,-0.2152,No
448,0.9660,No
449,0.2653,No
450,-1.3263,Yes
451,0.5255,No
452,-0.8158,No
453,-1.0260,No
454,-0.4154,No
455,-0.7558,No
456,-1.8869,No
457,0.1652,No
458,-0.1051,No
459,-1.0360,No
460,1.1662,No
461,-0.1151,No
462,0.1151,No
463,0.5355,No
464,0.3053,No
465,0.3053,No
466,-0.1952,No
467,1.1061,No
468,-0.1952,No
469,0.8959,No
470,0.1351,No
471,0.2853,No
472,-0.5956,No
473,0.8158,No
474,-1.9069,No
475,2.3173,No
476,0.4054,No
477,0.1151,No
478,0.2152,No
479,-1.3964,No
480,0.9059,No
481,0.1852,No
482,-1.4364,No
483,0.3754,No
484,-0.4655,No
485,-0.1752,No
486,-1.2563,No
487,2.1071,No
488,1.2062,No
489,-0.1852,No
490,0.0150,Yes
491,0.0751,No
492,0.0450,No
493,1.8068,No
494,-0.1952,No
495,1.1261,No
496,-1.1361,No
497,-0.7457,No
498,-2.5776,No
499,0.2352,No
500,-0.3954,No
501,-0.7257,No
502,1.3664,No
503,0.3654,No
504,0.9059,No
505,-1.1762,No
506,-0.5756,No
507,0.4354,No
508,0.5956,No
509,0.1351,No
510,-1.5866,No
511,-1.2162,No
512,0.7558,No
513,0.2052,No
514,0.9860,No
515,1.4464,No
516,1.2563,No
517,-0.3053,No
518,1.1461,No
519,-0.2052,No
520,-1.0460,No
521,0.1652,No
522,-0.1451,No
523,0.4555,No
524,-0.0651,No
525,0.4354,No
526,-1.2663,No
527,0.0450,No
528,-0.1552,No
529,-0.7257,No
530,1.0561,No
531,-0.6557,Yes
532,-1.5766,No
533,0.9960,No
534,0.6657,No
535,0.3754,No
536,1.5566,No
537,0.6557,No
538,0.5455,No
539,1.5866,No
540,-0.8058,No
541,0.8859,No
542,0.1852,No
543,-1.5265,No
544,1.2863,No
545,-1.9269,No
546,-0.8158,No
547,-0.3053,No
548,-1.3564,No
549,2.2873,No
550,-0.1852,No
551,-0.9359,No
552,1.0360,No
553,-0.9860,Yes
554,-1.7467,No
555,0.6857,No
556,-0.0951,No
557,0.4454,No
558,0.6857,No
559,0.5856,No
560,-0.8458,No
